"","unlistTitulosgenero","Freq","unlistTitulostitulos","Freq","Var1","Freq"
"48","Género(s):AccióNArtes MarcialesMaduroShounen",1,"Against the Gods (Novela)",1,"1784",1
"49","Género(s):AccióNArtes MarcialesPsicolóGicoSeinen",1,"Age Matters (Oficial)",1,"1785",2
"50","Género(s):AccióNArtes MarcialesShonen",3,"Age Metters",1,"1786",3
"51","Género(s):AccióNArtes MarcialesShounen",1,"Ahiru no Sora",1,"1788",4
"52","Género(s):AccióNAventura EcchiFantasíAHaremRomanceSeinen",1,"Aho Girl",1,"1789",1
"53","Género(s):AccióNAventuraApocalíPticoComediaRomanceSupervivencia",1,"Ai Dano Koi Dano",1,"1790",5
"54","Género(s):AccióNAventuraArtes MarcialesCiencia FiccióNComedia Romance",1,"Ai ga Shinu no wa Kimi no sei",1,"1791",1
"55","Género(s):AccióNAventuraArtes MarcialesTragedia",1,"Ai to Yokubou wa Gakuen de (yaoi)",2,"1792",2
"56","Género(s):AccióNAventuraCiencia FiccióNArtes MarcialesComediaDramaFantasíA",1,"Ai Wa Chitto Mo Rakuja Nai",1,"1793",3
"57","Género(s):AccióNAventuraCiencia FiccióNComediaDramaFantasíAMagiaRealidad VirtualRomanceShonen",2,"Ai Wo Utau Yori Ni Oborero",1,"1794",2
"58","Género(s):AccióNAventuraCiencia FiccióNComediaEcchiFantasíAHarem",1,"Aigan Cinderella",2,"1796",1
"59","Género(s):AccióNAventuraCiencia FiccióNComediaEcchiFantasíAHaremMagiaSeinenSobrenatural",2,"Aiki",2,"1797",1
"60","Género(s):AccióNAventuraCiencia FiccióNComediaFantasíAHistóRicoMisterioSeinen Sobrenatural",1,"Aiomou Hito - Sex Friend",1,"1799",1
"61","Género(s):AccióNAventuraCiencia FiccióNComediaFantasíAHistóRicoMisterioSeinenSobrenatural",1,"Air Gear",2,"1800",2
"62","Género(s):AccióNAventuraCiencia FiccióNComediaFantasíARealidad Virtual",2,"Aisareru yori <U+FFEE> Saretai",1,"1801",1
"63","Género(s):AccióNAventuraCiencia FiccióNHorrorShonen",1,"Aitsu no Daihonmei",1,"1802",1
"64","Género(s):AccióNAventuraComedia",1,"Aiyoku Heaven",1,"1803",1
"65","Género(s):AccióNAventuraComediaArtes MarcialesRomanceSobrenaturalFantasíA",1,"Ajetreado",1,"1804",5
"66","Género(s):AccióNAventuraComediaDemoniosFantasíA Artes Marciales",1,"Aka Akatoshitachi no Monogatari",1,"1805",4
"67","Género(s):AccióNAventuraComediaDeportesFantasíAMagiaRomanceShonen",1,"Akagami no Shirayukihime",2,"1806",2
"68","Género(s):AccióNAventuraComediaDrama FantasíAHaremHistóRico",1,"Akai Ito No Shikkou Yuuyo",1,"1807",3
"69","Género(s):AccióNAventuraComediaDramaEcchiFantasíAMagiaRomanceShonenSobrenatural",1,"Akame ga Kill!",1,"1808",4
"70","Género(s):AccióNAventuraComediaDramaEcchiFantasíAPsicolóGicoEscolarShounenSobrenatural",1,"Akarui Sekai Keikaku",1,"1810",2
"71","Género(s):AccióNAventuraComediaDramaEcchiMagia",1,"Aku no Higan - Beyond Evil",1,"1811",1
"72","Género(s):AccióNAventuraComediaDramaFantasíA",1,"Akukare Bambino",1,"1812",2
"73","Género(s):AccióNAventuraComediaDramaFantasíAArtes MarcialesMisterioPsicolóGicoCiencia FiccióNShounenSobrenaturalTragedia",1,"Akuma-chan wa Momoiro",2,"1814",2
"74","Género(s):AccióNAventuraComediaDramaFantasíAArtes MarcialesMisterioShounenSobrenatural",1,"Akuma mo Fumu wo Osoreru Tokoro",1,"1815",2
"75","Género(s):AccióNAventuraComediaDramaFantasíAArtes MarcialesRomance",1,"Akuma Ni Chic x Hack",1,"1817",2
"76","Género(s):AccióNAventuraComediaDramaFantasíAArtes MarcialesShounen",2,"Akuma no kawari",1,"1818",2
"77","Género(s):AccióNAventuraComediaDramaFantasíAHaremHistóRicoRomanceShojoSobrenatural",1,"Akuma no Riddle",1,"1819",2
"78","Género(s):AccióNAventuraComediaDramaFantasíAHaremMagiaRomanceSeinenShonen",2,"Akumetsu",2,"1820",2
"79","Género(s):AccióNAventuraComediaDramaFantasíAHistóRicoMagiaMisterioShonenSobrenaturalVida Escolar",1,"Al final del camino",2,"1821",2
"80","Género(s):AccióNAventuraComediaDramaFantasíAHistóRicoRomanceShonenSobrenaturalTragedia",1,"Alcafus",1,"1822",4
"81","Género(s):AccióNAventuraComediaDramaFantasíAMisterioRomanceShounenSobrenatural",1,"Aldea Hentai Doujinshis",1,"1823",3
"82","Género(s):AccióNAventuraComediaDramaFantasíARomance",1,"Alice in Borderland",2,"1824",1
"83","Género(s):AccióNAventuraComediaDramaFantasíARomanceHarem",2,"Alice in Sexland",2,"1825",1
"84","Género(s):AccióNAventuraComediaDramaFantasíARomanceHistóRico",1,"Alicia en adultolandia",2,"1827",1
"85","Género(s):AccióNAventuraComediaDramaFantasíAShounenSobrenatural",2,"ALL ABOUT LUST",1,"1828",1
"86","Género(s):AccióNAventuraComediaDramaFantasíASobrenatural",1,"All Heavenly Days",1,"1829",3
"87","Género(s):AccióNAventuraComediaDramaHistóRicoSeinenTragedia",1,"Always Human",1,"1830",1
"88","Género(s):AccióNAventuraComediaDramaRomanceShonen",2,"Amaama to Inazuma",1,"1831",2
"89","Género(s):AccióNAventuraComediaDramaShonen",1,"Amada",1,"1832",1
"90","Género(s):AccióNAventuraComediaEcchiArtes MarcialesVida Escolar",1,"Amagami: Various Artists",1,"1836",1
"91","Género(s):AccióNAventuraComediaEcchiFantasíA",2,"Amai Akuma ga Warau",1,"1837",1
"92","Género(s):AccióNAventuraComediaEcchiFantasíAHarem",1,"Amano Megumi wa Suki Darake!",1,"1838",1
"93","Género(s):AccióNAventuraComediaEcchiFantasíAHaremRomance",2,"Amantes en Secreto (Hitozuma Lovers)",2,"1839",3
"94","Género(s):AccióNAventuraComediaEcchiFantasíAHaremRomanceEscolarShounenSobrenatural",1,"Amasugi Monster",1,"1842",3
"95","Género(s):AccióNAventuraComediaEcchiFantasíAMagia",1,"Amentia",1,"1845",2
"96","Género(s):AccióNAventuraComediaEcchiVida EscolarSobrenatural",1,"American Ghost Jack",2,"1846",1
"97","Género(s):AccióNAventuraComediaFantasíA",2,"Americano-Exodus",1,"1848",1
"98","Género(s):AccióNAventuraComediaFantasíAArtes MarcialesWebcomic",1,"Amor en Sintonia",1,"1882",1
"99","Género(s):AccióNAventuraComediaFantasíAEscolarShounenSobrenatural",1,"An innocent sin",2,"1883",1
"100","Género(s):AccióNAventuraComediaFantasíAGender BenderRealidad Virtual",1,"Ana Satsujin",1,"1884",1
"101","Género(s):AccióNAventuraComediaFantasíAHarem",1,"Anagura Amelie",2,"1885",2
"102","Género(s):AccióNAventuraComediaFantasíAHaremMagia",1,"Ane-Doki",1,"1888",1
"103","Género(s):AccióNAventuraComediaFantasíAHaremRomance",1,"Angel of Slaughter",1,"1890",1
"104","Género(s):AccióNAventuraComediaFantasíAHaremRomanceShonen",2,"ANI NI AI SARESUGITE KOMATTEMASU",3,"1892",2
"105","Género(s):AccióNAventuraComediaFantasíAMagia",2,"Aniki no Shigoki!",1,"1893",1
"106","Género(s):AccióNAventuraComediaFantasíAMagiaReencarnacióN",1,"Anitomo",2,"1894",2
"107","Género(s):AccióNAventuraComediaFantasíAMagiaShonenSobrenatural",1,"Ano Ko ni Koisuru Yamada ni Koishita",1,"1896",1
"108","Género(s):AccióNAventuraComediaFantasíAMagiaSobrenatural",2,"Ano Ko no - Toriko",1,"1899",1
"109","Género(s):AccióNAventuraComediaFantasíAMisterioRomanceEscolarShounenSobrenatural",1,"Ansatsu Kyoshitsu (Assass...",1,"1900",2
"110","Género(s):AccióNAventuraComediaFantasíAPsicolóGicoSeinenSobrenaturalTragedia",1,"Antique Romance",1,"1903",1
"111","Género(s):AccióNAventuraComediaFantasíARecuentos De La VidaSobrenatural",1,"Antología 4-koma Monster Musume No Iru Nichijou",1,"1905",2
"112","Género(s):AccióNAventuraComediaFantasíARecuentos De La VidaTragedia",1,"Ao Haru Ride",1,"1906",1
"113","Género(s):AccióNAventuraComediaFantasíAReencarnacióNRomance",1,"Ao no Exorcist",1,"1907",1
"114","Género(s):AccióNAventuraComediaFantasíARomance",3,"AO NO FLAG",1,"1910",3
"115","Género(s):AccióNAventuraComediaFantasíARomanceRecuentos De La Vida",1,"Aoharu x Kikanjuu",3,"1918",2
"116","Género(s):AccióNAventuraComediaFantasíARomanceShounenSobrenatural",1,"Aphorism",2,"1919",1
"117","Género(s):AccióNAventuraComediaFantasíAShonen",1,"Apotheosis - Elevation to the status of a god",1,"1921",1
"118","Género(s):AccióNAventuraComediaFantasíAShounen",1,"Appetite",2,"1922",2
"119","Género(s):AccióNAventuraComediaFantasíAShounenSobrenatural",2,"Aquel Verano",2,"1923",2
"120","Género(s):AccióNAventuraComediaFantasíASobrenaturalRealidad Virtual",1,"Aquí Estás",1,"1924",1
"121","Género(s):AccióNAventuraComediaHaremArtes MarcialesRomanceEscolarSeinenSobrenatural",3,"Arakawa Under the Bridge",1,"1925",1
"122","Género(s):AccióNAventuraComediaMagiaRomanceShonen",2,"Arata Kangatari",1,"1927",1
"123","Género(s):AccióNAventuraComediaMisterioRomanceEscolarCiencia FiccióNShounen",1,"Area D",2,"1928",1
"124","Género(s):AccióNAventuraComediaRomanceHaremMagia",1,"Arifureta Shokugyou de Sekai Saikyou",1,"1929",1
"125","Género(s):AccióNAventuraComediaVida Escolar",1,"Arslan Senki",1,"1930",2
"126","Género(s):AccióNAventuraDemoniosFantasíAReencarnacióN",1,"Aruitou",1,"1932",2
"127","Género(s):AccióNAventuraDrama",2,"Asa made Jugyou Chu!",2,"1933",1
"128","Género(s):AccióNAventuraDrama ComediaCiencia FiccióNReencarnacióN",1,"Asagao to Kase-san",1,"1934",2
"129","Género(s):AccióNAventuraDramaArtes MarcialesReencarnacióNMisterio",1,"Asahi Senpai no Okiniiri",1,"1936",1
"130","Género(s):AccióNAventuraDramaArtes MarcialesReencarnacióNRomance",1,"Asami sensei no himitsu",1,"1937",1
"131","Género(s):AccióNAventuraDramaArtes MarcialesWebcomic",1,"Asanaga Fuugetsu, Shodouka Desu",1,"1938",1
"132","Género(s):AccióNAventuraDramaComediaCiencia FiccióNReencarnacióN",1,"Asatte Ni Kiss",1,"1939",1
"133","Género(s):AccióNAventuraDramaEcchiMaduroPsicolóGicoRomanceCiencia FiccióNSeinenTragedia",2,"Ashita no 3600-byou",1,"1945",2
"134","Género(s):AccióNAventuraDramaEcchiRomanceShonenSobrenatural",1,"Ashita wa Doyoubi",1,"1947",2
"135","Género(s):AccióNAventuraDramaFantasíAHaremRomanceSobrenatural",1,"Ashitaba san Chi no Muko Kurashi",1,"1996",1
"136","Género(s):AccióNAventuraDramaFantasíAHistóRicoArtes MarcialesRomance ",2,"Assassin's Pride",1,"1997",1
"137","Género(s):AccióNAventuraDramaFantasíAHistóRicoMaduroRomanceShojoSobrenatural",1,"Assassination Classroom",2,"2000",1
"138","Género(s):AccióNAventuraDramaFantasíAHorrorMagiaMisterioPsicolóGicoRomanceSeinenSobrenaturalSuspenseTragedia",1,"Astral Walker",1,"2004",1
"139","Género(s):AccióNAventuraDramaFantasíAHorrorMisterioRomance",1,"Asu no Yoichi",1,"2006",2
"140","Género(s):AccióNAventuraDramaFantasíAMagia",1,"At Sixes and Sevens",1,"2009",1
"141","Género(s):AccióNAventuraDramaFantasíAMechaCiencia FiccióN ShounenTragedia",1,"At Your Service, KITTY",2,"2010",2
"142","Género(s):AccióNAventuraDramaFantasíAMechaCiencia FiccióNShounenTragedia",1,"Athena Complex",2,"2011",1
"143","Género(s):AccióNAventuraDramaFantasíAMisterioShounen Sobrenatural",1,"Ato nimo Saki nimo Kimi dake",1,"2013",1
"144","Género(s):AccióNAventuraDramaFantasíARomance",1,"Atonement Camp",1,"2016",3
"145","Género(s):AccióNAventuraDramaFantasíARomanceMagia",1,"Atori Shou",1,"2017",1
"146","Género(s):AccióNAventuraDramaFantasíAShonen",1,"Atsumare! Gakuen Tengoku",2,"2019",1
"147","Género(s):AccióNAventuraDramaHaremFantasíAMagia",1,"Autophagy Regulation",2,"2020",2
"148","Género(s):AccióNAventuraDramaHaremFantasíARomance",1,"Aventuras de Dios",2,"2021",1
"149","Género(s):AccióNAventuraDramaHaremFantasíARomanceTragedia",1,"Awa Koi",4,"2026",1
"150","Género(s):AccióNAventuraDramaHistóRicoReencarnacióNRomance",1,"Ayakashi Hisen",1,"2027",2
"151","Género(s):AccióNAventuraDramaHistóRicoRomanceShojoSobrenaturalTragedia",1,"Ayakashi Koi Emaki",1,"2028",3
"152","Género(s):AccióNAventuraDramaReencarnacióNVampirosRomance",2,"B Gata H Kei",1,"2032",1
"153","Género(s):AccióNAventuraDramaRomanceFantasíA",1,"B Group no Shounen X",3,"2109",1
"154","Género(s):AccióNAventuraDramaRomanceMagiaCiencia FiccióN",1,"Baby, Kokoro no Mama ni!",1,"2118",1
"155","Género(s):AccióNAventuraDramaShounen",1,"BACK STREET GIRLS",1,"2119",1
"156","Género(s):AccióNAventuraDramaSobrenaturalYaoi (Soft)Recuentos De La Vida",2,"Bagjwi Sayug (Raising a Bat)",2,"2120",1
"157","Género(s):AccióNAventuraDramaSuper PoderesRomance",1,"Baka to Boing",1,"2122",3
"158","Género(s):AccióNAventuraDramaTragediaFantasíAMagia",1,"Bakemonogatari",1,"2126",1
"159","Género(s):AccióNAventuraEcchiFantasíAHaremMaduroSeinen",1,"Baki Hanma: El hijo del Ogro",1,"2127",1
"160","Género(s):AccióNAventuraEcchiFantasíAHaremSeinenSobrenatural ",1,"BAKI THE GRAPPLER",1,"2128",3
"161","Género(s):AccióNAventuraEcchiFantasíARomanceShounenSobrenatural",1,"Baki Tokubetsuhen [Saga]",1,"2130",1
"162","Género(s):AccióNAventuraEcchiHaremRomanceRecuentos De La Vida",1,"Baki: New Grappler Baki",2,"2133",2
"163","Género(s):AccióNAventuraEcchiMaduroEscolarShounen",1,"Bakuman",1,"2135",1
"164","Género(s):AccióNAventuraFantasíA",6,"Ballroom e Yokoso",1,"2136",1
"165","Género(s):AccióNAventuraFantasíA HaremSeinen",1,"Bambi to Dhole",2,"2137",1
"166","Género(s):AccióNAventuraFantasíA MagiaRealidad VirtualShonen",1,"Bara to juudan",1,"2138",2
"167","Género(s):AccióNAventuraFantasíAArtes Marciales",1,"Bara Yaoi-Takeshi matsu",2,"2139",1
"168","Género(s):AccióNAventuraFantasíAArtes MarcialesRomanceShojoSobrenatural",1,"Barairo no Yakusoku",1,"2140",5
"169","Género(s):AccióNAventuraFantasíAArtes MarcialesSobrenatural",1,"Barajou no Kiss",2,"2142",2
"170","Género(s):AccióNAventuraFantasíAComediaRomanceGender Bender",1,"Barakamon",1,"2145",3
"171","Género(s):AccióNAventuraFantasíADramaMagiaMisterio",1,"Bartender",2,"2146",1
"172","Género(s):AccióNAventuraFantasíAEcchiMagia",1,"BASARA",1,"2148",1
"173","Género(s):AccióNAventuraFantasíAHaremHorrorMaduroMagiaSeinenSobrenatural",2,"Bastard (HWANG Youngchan)",1,"2151",1
"174","Género(s):AccióNAventuraFantasíAHaremRomance",1,"Battle through the heavens - The legend of Yao Lao",2,"2155",1
"175","Género(s):AccióNAventuraFantasíAHaremSeinen",2,"Beautiful Stranger",1,"2156",1
"176","Género(s):AccióNAventuraFantasíAHistóRicoArtes Marciales",2,"Beauty Bunny",1,"2161",1
"177","Género(s):AccióNAventuraFantasíAHorrorRomanceShounenTragedia",1,"beauty pop",1,"2162",2
"178","Género(s):AccióNAventuraFantasíAMagia ShonenSobrenatural",1,"Beelzebub",2,"2163",1
"179","Género(s):AccióNAventuraFantasíAMagiaRomance",2,"Berserk",2,"2164",1
"180","Género(s):AccióNAventuraFantasíAMagiaRomanceShonen",1,"Berserk of Gluttony",1,"2165",1
"181","Género(s):AccióNAventuraFantasíAMagiaShonen",1,"Best Friend Girlfriend",2,"2167",1
"182","Género(s):AccióNAventuraFantasíAMisterioSeinenSobrenatural",1,"Better Girlfriend",1,"2168",3
"183","Género(s):AccióNAventuraFantasíAReencarnacióN",1,"Bi no kyoujin",1,"2169",1
"184","Género(s):AccióNAventuraFantasíARomanceCiencia FiccióN",1,"Big Order",1,"2170",2
"185","Género(s):AccióNAventuraFantasíARomanceCiencia FiccióNShounen",1,"Bijin Kakumei",1,"2173",1
"186","Género(s):AccióNAventuraFantasíARomanceHarem",1,"Bijin Onna Joushi Takizawa-san",1,"2175",1
"187","Género(s):AccióNAventuraFantasíARomanceSeinen ",1,"Billion Dogs",1,"2176",1
"188","Género(s):AccióNAventuraFantasíAShonen",2,"Billion Girl",2,"2217",1
"189","Género(s):AccióNAventuraFantasíAShounenSobrenatural",1,"Billionaire Girl",1,"2218",1
"190","Género(s):AccióNAventuraFantasíASobrenatural",2,"Binbougami Ga!",1,"2220",2
"191","Género(s):AccióNAventuraFantasíASupernaturalTragediaWebcomic",1,"Binetsu Kuukan",1,"2222",2
"192","Género(s):AccióNAventuraFantasíASupernaturalTragediaWebcomic ",1,"Bio Meat: Nectar",1,"2224",1
"193","Género(s):AccióNAventuraFantasíASuperpoderesWebcomic",3,"Bitch na Anoko no Iutoori",1,"2227",1
"194","Género(s):AccióNAventuraHaremFantasíAMagiaRomance",2,"Bitch Trap",2,"2228",1
"195","Género(s):AccióNAventuraHaremRomanceFantasíADramaPsicolóGico",2,"Bittersweet",1,"2229",1
"196","Género(s):AccióNAventuraHistóRicoArtes MarcialesEscolarShounen",2,"Biyaku Cafe",2,"2231",2
"197","Género(s):AccióNAventuraHistóRicoRomance",1,"BJ Alex",1,"2233",1
"198","Género(s):AccióNAventuraHistóRicoSobrenatural",2,"BL MOTEL",1,"2236",2
"199","Género(s):AccióNAventuraHorrorMisterioPsicolóGicoSobrenatural",1,"Black Clover·",1,"2238",2
"200","Género(s):AccióNAventuraHorrorPsicolóGicoShonenVida Escolar",1,"Black Joke",2,"2239",1
"201","Género(s):AccióNAventuraMagia",2,"Black Lagoon",1,"2241",1
"202","Género(s):AccióNAventuraMagiaFantasíAReencarnacióN",1,"Black Out",1,"2242",2
"203","Género(s):AccióNAventuraMagiaShonen",1,"Black Torch",1,"2243",1
"204","Género(s):AccióNAventuraPsicolóGicoSobrenaturalCiencia FiccióNFantasíA",1,"Blade Play",2,"2247",1
"205","Género(s):AccióNAventuraReencarnacióNFantasíAHarem",1,"BLAME",1,"2248",1
"206","Género(s):AccióNAventuraReencarnacióNRomanceEcchiFantasíA",2,"Blavet",1,"2249",1
"207","Género(s):AccióNAventuraReencarnacióNRomanceMagiaFantasíA",1,"Bleach",2,"2251",1
"208","Género(s):AccióNAventurasArtes Marciales RomanceShounen",1,"Blood Bank",1,"2302",2
"209","Género(s):AccióNAventurasArtes MarcialesRomanceShounen",1,"Bloody Kiss (YAGAMI Rina)",1,"2303",1
"210","Género(s):AccióNAventuraSuper PoderesArtes Marciales",1,"Bloody Mary",2,"2304",2
"211","Género(s):AccióNAventuraYaoiMusicalPsicolóGicoDrama",2,"Bloomer Mama",1,"2305",1
"212","Género(s):AccióNCiencia FiccióN",1,"Blue Ark Of Destiny",1,"2308",1
"213","Género(s):AccióNCiencia FiccióNComediaEcchiRomanceShonenVida Escolar",1,"Blue Lust",1,"2310",2
"214","Género(s):AccióNCiencia FiccióNComediaFantasíASobrenatural",1,"Blue sky complex",2,"2315",1
"215","Género(s):AccióNCiencia FiccióNComediaSeinenSobrenatural",1,"Bocchi Kaibutsu to Moumoku Shoujo",1,"2316",1
"216","Género(s):AccióNCiencia FiccióNComediaShonen",1,"Boing Boing Osen",1,"2317",1
"217","Género(s):AccióNCiencia FiccióNDramaEcchiRomanceShonenSobrenaturalSuspense",2,"Boku dake ga Inai Machi",2,"2319",1
"218","Género(s):AccióNCiencia FiccióNDramaHorrorMisterioRomanceSeinenSobrenaturalSuspenseTragediaVida Escolar",1,"Boku ni Hana no Melancholy",1,"2320",1
"219","Género(s):AccióNCiencia FiccióNDramaRomanceSeinenSobrenaturalTragedia",1,"boku no hatsukoi wo kimi ni sasagu",3,"2322",2
"220","Género(s):AccióNCiencia FiccióNEcchiRomanceShonenVida Escolar",2,"Boku no Hero Academia",1,"2323",2
"221","Género(s):AccióNCiencia FiccióNEcchiSeinen",2,"Boku no Hero Academia SMASH!!",1,"2324",1
"222","Género(s):AccióNCiencia FiccióNHorrorMaduroPsicolóGicoSeinen",2,"Boku no kanojo ga majime",1,"2325",1
"223","Género(s):AccióNCiencia FiccióNReencarnacióNSobrenatural",1,"Boku no Omawarisan",1,"2326",2
"224","Género(s):AccióNComediaArtes MarcialesEscolarShounenSobrenatural",2,"Boku no Orion",1,"2330",2
"225","Género(s):AccióNComediaArtes MarcialesRomanceSeinenDeportes",1,"Boku no Ushiro ni Majo ga Iru",2,"2331",1
"226","Género(s):AccióNComediaCiberpunkFantasíAArtes MarcialesRomance",1,"Boku to Kanojo no XXX",1,"2333",1
"227","Género(s):AccióNComediaCiencia FiccióN",1,"Boku to Kimi no Taisetsu na Hanashi",1,"2334",1
"228","Género(s):AccióNComediaDeportesDramaRecuentos De La VidaRomanceShonenVida Escolar",1,"Boku to Kimi to de Niji ni Naru",1,"2335",2
"229","Género(s):AccióNComediaDeportesDramaShonenVida Escolar",1,"Boku to Kotori-chan",1,"2337",2
"230","Género(s):AccióNComediaDramaArtes MarcialesRomanceEscolarSeinenShounenSobrenatural",1,"Boku to Senpai no Tekken Kousai",1,"2338",2
"231","Género(s):AccióNComediaDramaArtes MarcialesRomanceShounen",2,"Boku wa Imouto ni Koi wo Suru",2,"2340",2
"232","Género(s):AccióNComediaDramaCiencia FiccióNShounen",2,"Boku wa Mari no Naka",1,"2342",1
"233","Género(s):AccióNComediaDramaEcchiFantasíAHarem",1,"Boku Wa Ookami",1,"2344",1
"234","Género(s):AccióNComediaDramaEcchiHaremMaduroMisterioPsicolóGicoRomanceCiencia FiccióNSeinenTragedia",1,"Boku wa Tomodachi ga Sukunai",1,"2348",3
"235","Género(s):AccióNComediaDramaEcchiHorrorRomanceCiencia FiccióNShounen",1,"Boku wo Waruiko ni Shite",1,"2352",1
